station,station_type,model,condition,horizon,n_eval,skill_h,phi_h,r_h,beta_h,kge_h,rmse,rmse_persistence
Dundalk Co Louth,unknown,xgboost_direct,lag_only,24,152,0.16074131001982905,0.7823010151867816,0.08184532681164958,1.0772181549896165,0.05323524814961933,12.661307083903157,15.086298462041905
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,1,151,0.2757996915992632,1.2082779235069094,0.7168607989083142,1.2068811919446554,0.5921430052142915,6.7983804649344375,9.387431054741485
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,2,150,0.3414094369355848,1.2354880349705315,0.5778131415752031,1.2514965995510148,0.4550716582644969,7.380515453918657,11.206530836969776
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,3,151,0.43384074164035524,1.0692661536684747,0.5596153737923751,1.2823128678494597,0.4723287250593976,6.86015658644352,12.117008571615907
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,4,151,0.44299908686856593,0.9635822428359002,0.479767536868415,1.2895078524246901,0.40352463139843286,7.183080059835513,12.895993328722856
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,5,151,0.3336677053223188,1.2256246739022578,0.3566451474930456,1.365538913510444,0.2264170005693371,9.005182047219762,13.514551401978432
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,6,152,0.47213066435907747,0.8159957176182349,0.3855182605656838,1.352955046165635,0.26786432360740897,7.5088789376353215,14.22488186118687
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,7,152,0.461532850639334,0.7826968494343371,0.25973398102118284,1.3343675366133358,0.1591575131801557,7.9181156939100115,14.704918774174741
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,8,152,0.4647597094024547,0.7621681944085091,0.2725726640483444,1.2704531786085755,0.18829844236929438,7.832599684404817,14.633800597597872
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,9,152,0.45518375576803605,0.6938175721263046,0.26695780070123076,1.1508387048237747,0.19138954992881707,7.689453988707294,14.113848605133349
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,10,153,0.444367278419214,0.7067995752889715,0.23281364145485445,1.1175932627863279,0.17031959572301436,7.98626451034631,14.373279686670056
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,11,153,0.33945520195917855,0.530457055438148,0.17168257622919467,1.0482427669574939,0.04663349341723089,10.486300370557633,15.875229661424996
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,12,153,0.34096441506563624,0.5731473269488097,0.1340157858416248,1.0992362947282937,0.029443610162786182,10.483507870698391,15.90734720605791
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,13,153,0.4013607403358711,0.6918494807415883,0.17206950118419895,1.1157715764891083,0.10902934318161561,8.912457172925667,14.88785947304236
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,14,152,0.4492794513125119,0.8211683339640895,0.17954451543088065,1.2045555566898318,0.13572519259820204,8.04966763806213,14.616610288551254
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,15,152,0.35600555212572704,0.6554416084445405,0.10269275765704194,1.1071561112150412,0.0328582293566575,9.988009259670505,15.509464860511445
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,16,151,0.3422900513944751,0.7365890674065932,0.10619459102538097,1.1038022470115283,0.06242422439215267,9.813298112287375,14.920403945680778
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,17,151,0.3043644261719388,0.7725816463731578,0.2586132278720879,1.0762881399194166,0.2207738879215143,9.978845466026323,14.344932665120968
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,18,151,0.28131814593632265,0.7045009390669754,0.3936145236930011,0.9509979780318264,0.32366854350449237,10.556229905567898,14.688321189521204
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,19,150,0.13818504092825012,0.46650199282491683,0.31956716153351056,0.8290188105012198,0.11861271935331019,17.47857267061072,20.281120078765717
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,20,151,0.19293048295781912,0.49960976318981376,0.34594561412860064,0.8057244825009152,0.15387914251443668,14.684267886448076,18.194551493239725
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,21,151,0.18896299626140156,0.5095866569245163,0.30958265359408904,0.8137013311879564,0.1328849250037275,14.680568079362999,18.10098430982888
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,22,151,0.1938447776097625,0.5078585627045319,0.26985093422605877,0.8378356520925069,0.10466870473211387,13.589263061964742,16.85688150933612
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,23,151,0.21896178692412327,0.507091359252595,0.24759048618845944,0.9266242389922886,0.09752395771353906,12.675220851765214,16.228682079264455
Dundalk Co Louth,unknown,xgboost_direct,lag_plus_met,24,152,0.2543064098706259,0.6660705047581514,0.2009665636677405,1.0481582519938488,0.13265776223885073,11.249756061923282,15.086298462041905
Pearse street dublin,unknown,xgboost_direct,lag_only,1,212,0.16551648752132875,0.8226660029588883,0.7638741040681624,1.0097972459012912,0.7045363452750231,6.087939835205373,7.295458501177968
