dataset,model,horizon,n,skill,mae_skill,alpha,alpha_ci_low,alpha_ci_high,skill_vp,collapse_flag,inflation_flag,near_ideal_flag,low_sample_flag,station_id,station_name,province,station_type,station_class,lat,lon,altitude_m,dem_code
e1_rr_45153999_10_M,ridge_direct,5,1533,0.2550826002632598,0.2238415966965238,0.0517127844284953,0.0325473819855639,0.0879030450450708,0.013191031518874,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,ridge_direct,6,1529,0.2690557962497393,0.241651484804885,0.037428969426976,0.0235399485696127,0.061245174631582,0.0100704811719822,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,ridge_direct,7,1526,0.2750357126630899,0.2519388322875983,0.0311837895233881,0.0202244817145985,0.0504084698983155,0.0085766557751008,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,sarima,1,172,0.2396727309555365,0.0431514087635689,0.6381633285041324,0.2679158591219567,1.3798958108609107,0.1529503477382605,False,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,sarima,2,172,0.1774258367720855,0.0454209240163411,0.2202700441905004,0.109168757023733,0.4185396466816393,0.0390815969063238,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,sarima,3,171,0.2318158404109052,0.1320196019348836,0.1821744811097952,0.071313124434385,0.4441728819029324,0.0422309304398877,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,sarima,4,171,0.3251345432077729,0.2115412040454185,0.2686605297420877,0.1187519775128114,0.6983684669857266,0.0873508186156519,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,sarima,5,172,0.1374056385704037,0.1758060687003384,0.0809976612314301,0.0262465364625534,0.4770957834427998,0.0111295353642138,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,sarima,6,171,0.2806629406708948,0.1959323332181189,0.177110849378435,0.0992993682841077,0.3284638181903594,0.0497084518112714,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,sarima,7,170,0.2456842246219249,0.1897031324283381,0.1213166146310791,0.0665953203987699,0.2826535433454756,0.0298055783993935,True,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
e1_rr_45153999_10_M,seasonal_naive,1,1551,-0.4159662044150629,-0.7413342053629823,1.01192033985413,0.6038161860872191,1.691513215171739,-0.4209246629395229,False,False,False,False,45153999_10_M,San Pablo de los Montes,Toledo,Rural Remote/Background,rural,39.54633,-4.35042,923,ES0001R
