station,horizon,rmse_lags_only,mae_lags_only,skill_rmse_vs_persistence_lags_only,skill_mae_vs_persistence_lags_only,rmse_lags_meteo,mae_lags_meteo,skill_rmse_vs_persistence_lags_meteo,skill_mae_vs_persistence_lags_meteo,delta_rmse_meteo_minus_lags,delta_mae_meteo_minus_lags,delta_skill_rmse_meteo_minus_lags,delta_skill_mae_meteo_minus_lags
Dundalk Co Louth,9,8.166052941474774,6.2642982152954385,0.4214155777110505,0.3060791431032024,7.689453988707294,5.947057105113813,0.455183755768036,0.3412211838321403,-0.4765989527674801,-0.3172411101816257,0.03376817805698551,0.035142040728937896
Dundalk Co Louth,10,7.945353679185705,6.185258723421252,0.4472135899119589,0.3351338001133809,7.98626451034631,6.209802041845389,0.444367278419214,0.3324955882643804,0.040910831160605454,0.02454331842413726,-0.002846311492744946,-0.0026382118490004824
Dundalk Co Louth,11,10.777984588801631,7.1885422425653696,0.3210816587434379,0.2833512962987264,10.486300370557633,6.931686526815315,0.3394552019591785,0.3089580618318797,-0.2916842182439989,-0.2568557157500546,0.018373543215740584,0.025606765533153275
Dundalk Co Louth,12,10.469799772127638,7.094341537664593,0.3418261614268103,0.2948911648889998,10.483507870698393,6.888237587439098,0.3409644150656362,0.3153759012783779,0.013708098570754501,-0.20610395022549444,-0.0008617463611741427,0.02048473638937809
Dundalk Co Louth,13,9.295631204034006,6.8907304946957515,0.375623391605373,0.2865640425399399,8.912457172925667,6.554469676434107,0.4013607403358711,0.3213790101282772,-0.38317403110833936,-0.33626081826164445,0.0257373487304981,0.0348149675883373
Dundalk Co Louth,14,8.226562950959371,6.462265300037949,0.4371771027238109,0.3102768733129794,8.04966763806213,6.218215596521964,0.4492794513125119,0.3363245078127727,-0.1768953128972406,-0.24404970351598454,0.012102348588701017,0.026047634499793304
Dundalk Co Louth,15,10.165280600643136,7.386941112948911,0.3445756709166093,0.2466260883554291,9.988009259670504,7.001913145964109,0.356005552125727,0.2858940371781724,-0.17727134097263253,-0.3850279669848016,0.011429881209117698,0.039267948822743315
Dundalk Co Louth,16,10.368253287437463,7.8588269922205,0.305095671324709,0.1935189842042626,9.813298112287375,7.250538933636829,0.3422900513944751,0.2559421386862988,-0.5549551751500879,-0.6082880585836712,0.03719438006976611,0.06242315448203617
Dundalk Co Louth,17,10.649798108516356,7.809321152827529,0.2575916278498231,0.1810307297148948,9.978845466026325,7.543564002604636,0.3043644261719388,0.2089008781095844,-0.6709526424900307,-0.2657571502228926,0.04677279832211573,0.027870148394689598
Dundalk Co Louth,18,11.500891617491,7.843469865855286,0.2170043486184213,0.2177920660898015,10.556229905567898,7.468333463322729,0.2813181459363226,0.2552034000246579,-0.9446617119231018,-0.375136402532557,0.0643137973179013,0.037411333934856406
Dundalk Co Louth,19,18.571408013609844,11.076755759002996,0.0843006726707337,0.1215298898303998,17.47857267061072,10.303150190795307,0.1381850409282501,0.1828826345795891,-1.0928353429991233,-0.7736055682076888,0.0538843682575164,0.06135274474918928
Dundalk Co Louth,20,16.11242431281168,10.817709882402635,0.1144368511200548,0.1183661369688866,14.684267886448076,9.6843566213715,0.1929304829578191,0.2107334332417524,-1.4281564263636035,-1.1333532610311359,0.07849363183776428,0.09236729627286579
Dundalk Co Louth,21,15.67016609826796,9.651989607329236,0.134292045667427,0.1673209759330866,14.680568079363,9.061836601558776,0.1889629962614015,0.2182335907293096,-0.9895980189049585,-0.5901530057704605,0.054670950593974504,0.050912614796223
Dundalk Co Louth,22,13.602410232091964,8.838488133659686,0.1930648486460369,0.1989130245525237,13.589263061964742,8.835690272442342,0.1938447776097625,0.1991666120605261,-0.013147170127222552,-0.002797861217343822,0.0007799289637255846,0.00025358750800241747
