station_id,province,municipality,station_code,first_date,last_date,usable_days,usable_years,coverage_total,support_days,source_years_present,usable_days_2020,usable_days_2021,usable_days_2022,usable_days_2023
28148004_10_49,28,148,4,2020-01-06,2023-12-31,1438,4,0.987637362637,1456,4,358,361,355,364
28171001_10_49,28,171,1,2020-01-01,2023-12-31,1444,4,0.988364134155,1461,4,361,356,364,363
29067005_10_49,29,67,5,2020-01-01,2023-12-31,1433,4,0.980835044490,1461,4,352,358,361,362
29067006_10_49,29,67,6,2020-01-01,2023-12-31,1354,4,0.926762491444,1461,4,304,342,361,347
29067008_10_49,29,67,8,2020-01-14,2023-12-31,1365,4,0.942679558011,1448,4,344,348,321,352
30005002_10_47,30,5,2,2020-01-01,2023-12-31,1444,4,0.988364134155,1461,4,358,362,361,363
30015001_10_47,30,15,1,2020-01-01,2023-12-31,1377,3,0.942505133470,1461,4,366,362,290,359
30016001_10_47,30,16,1,2020-01-01,2023-12-31,1409,4,0.964407939767,1461,4,358,349,338,364
30016018_10_47,30,16,18,2020-01-01,2023-12-31,1368,4,0.936344969199,1461,4,350,324,332,362
30016020_10_47,30,16,20,2020-01-01,2022-12-31,1048,3,0.956204379562,1096,3,354,358,336,0
30016021_10_47,30,16,21,2020-01-01,2023-12-31,1394,4,0.954140999316,1461,4,359,359,328,348
30024002_10_47,30,24,2,2020-01-01,2023-12-31,1423,4,0.973990417522,1461,4,358,353,353,359
30030007_10_49,30,30,7,2020-01-01,2023-12-31,1377,4,0.942505133470,1461,4,331,351,349,346
31010001_10_49,31,10,1,2020-01-01,2023-12-31,1416,4,0.969199178645,1461,4,359,356,349,352
31107001_10_49,31,107,1,2020-01-01,2023-12-31,1394,4,0.954140999316,1461,4,349,357,342,346
31149002_10_49,31,149,2,2020-01-01,2023-12-31,1334,4,0.913073237509,1461,4,339,328,346,321
31191001_10_49,31,191,1,2020-01-01,2023-12-31,1405,4,0.961670088980,1461,4,352,353,354,346
31201012_10_49,31,201,12,2020-01-01,2023-12-31,1386,4,0.948665297741,1461,4,349,346,345,346
31201014_10_49,31,201,14,2020-01-01,2023-12-31,1398,4,0.956878850103,1461,4,359,354,329,356
31201015_10_49,31,201,15,2020-09-18,2023-12-31,1106,3,0.921666666667,1200,4,100,339,311,356
31216001_10_49,31,216,1,2020-01-01,2023-12-31,1389,4,0.950718685832,1461,4,360,361,346,322
31232002_10_49,31,232,2,2020-01-01,2023-12-31,1396,4,0.955509924709,1461,4,348,335,359,354
