dataset,model,horizon,n_recomputed,n_canonical,n_match,alpha_recomputed,alpha_canonical,alpha_abs_diff,alpha_within_tol,skill_recomputed,skill_canonical,skill_abs_diff,skill_within_tol,collapse_flag_recomputed,collapse_flag_canonical,collapse_match,near_ideal_flag_recomputed,near_ideal_flag_canonical,near_ideal_match
e1_rr_08019028_10_M,ridge_direct,4,1410,1410,True,0.07832122206360095,0.0783212220636009,5.551115123125783e-17,True,0.23844202244276191,0.2384420224427619,2.7755575615628914e-17,True,True,True,True,False,False,True
e1_rr_08019028_10_M,ridge_direct,5,1402,1402,True,0.06725921372625163,0.0672592137262516,2.7755575615628914e-17,True,0.24603800505271012,0.2460380050527101,2.7755575615628914e-17,True,True,True,True,False,False,True
e1_rr_08019028_10_M,ridge_direct,6,1400,1400,True,0.06315006700986578,0.0631500670098657,8.326672684688674e-17,True,0.2312505921946567,0.2312505921946567,0.0,True,True,True,True,False,False,True
e1_rr_08019028_10_M,ridge_direct,7,1396,1396,True,0.058897001248958844,0.0588970012489588,4.163336342344337e-17,True,0.21408675069299543,0.2140867506929954,2.7755575615628914e-17,True,True,True,True,False,False,True
e1_rr_08019028_10_M,sarima,1,167,167,True,0.5285289595264814,0.5285289595264814,0.0,True,0.1772819452313733,0.0498714823828565,0.12741046284851681,False,False,False,True,False,False,True
e1_rr_08019028_10_M,sarima,2,168,168,True,0.32577961901758656,0.3257796190175865,5.551115123125783e-17,True,0.2278186214540886,0.2116698580537701,0.01614876340031851,False,True,True,True,False,False,True
e1_rr_08019028_10_M,sarima,3,168,168,True,0.1875884536789086,0.1875884536789086,0.0,True,0.3126865559899088,0.2897654817087807,0.022921074281128107,False,True,True,True,False,False,True
e1_rr_08019028_10_M,sarima,4,162,162,True,0.11064754967240646,0.1106475496724064,5.551115123125783e-17,True,0.12046367902573829,0.2234398368823777,0.10297615785663941,False,True,True,True,False,False,True
e1_rr_08019028_10_M,sarima,5,164,164,True,0.10685664642790284,0.1068566464279028,4.163336342344337e-17,True,0.19145035294720647,0.2533513756625635,0.061901022715357024,False,True,True,True,False,False,True
e1_rr_08019028_10_M,sarima,6,166,166,True,0.09640590519151057,0.0964059051915106,2.7755575615628914e-17,True,0.261664708979084,0.3016932608525395,0.0400285518734555,False,True,True,True,False,False,True
e1_rr_08019028_10_M,sarima,7,166,166,True,0.08467846297603115,0.0846784629760311,5.551115123125783e-17,True,0.055715231492069583,0.1649501916789183,0.10923496018684872,False,True,True,True,False,False,True
e1_rr_08019028_10_M,seasonal_naive,1,1437,1437,True,1.0101543481715576,1.0101543481715576,0.0,True,-0.4668429588312475,-0.4668429588312475,0.0,True,False,False,True,False,False,True
e1_rr_08019028_10_M,seasonal_naive,2,1426,1426,True,1.0336716465812406,1.0336716465812406,0.0,True,-0.14100004824831625,-0.1410000482483162,5.551115123125783e-17,True,False,False,True,False,False,True
e1_rr_08019028_10_M,seasonal_naive,3,1418,1418,True,1.0418481020058352,1.0418481020058352,0.0,True,-0.031930564273951356,-0.0319305642739513,5.551115123125783e-17,True,False,False,True,False,False,True
e1_rr_08019028_10_M,seasonal_naive,4,1410,1410,True,1.0092325802106017,1.0092325802106017,0.0,True,0.029579120859227648,0.0295791208592276,4.85722573273506e-17,True,False,False,True,True,True,True
e1_rr_08019028_10_M,seasonal_naive,5,1402,1402,True,1.0194150074656816,1.0194150074656816,0.0,True,0.04196887540383032,0.0419688754038303,2.0816681711721685e-17,True,False,False,True,True,True,True
e1_rr_08019028_10_M,seasonal_naive,6,1400,1400,True,1.0167201895731222,1.0167201895731222,0.0,True,0.024088698638055406,0.0240886986380554,6.938893903907228e-18,True,False,False,True,True,True,True
e1_rr_08019028_10_M,seasonal_naive,7,1396,1396,True,1.024994007541155,1.024994007541155,0.0,True,0.0,0.0,0.0,True,False,False,True,False,False,True
e1_rr_08019028_10_M,stl_ridge_direct,1,1437,1437,True,1.7660733676421996,1.7660733676421996,0.0,True,-2.4690058772971235,-2.4690058772971235,0.0,True,False,False,True,False,False,True
e1_rr_08019028_10_M,stl_ridge_direct,2,1426,1426,True,1.61483468791144,1.61483468791144,0.0,True,-1.764445465860332,-1.764445465860332,0.0,True,False,False,True,False,False,True
e1_rr_08019028_10_M,stl_ridge_direct,3,1418,1418,True,1.5341989615084088,1.5341989615084088,0.0,True,-1.525396974602772,-1.525396974602772,0.0,True,False,False,True,False,False,True
e1_rr_08019028_10_M,stl_ridge_direct,4,1410,1410,True,1.4513767330697769,1.451376733069777,2.220446049250313e-16,True,-1.391100133068624,-1.391100133068624,0.0,True,False,False,True,False,False,True
e1_rr_08019028_10_M,stl_ridge_direct,5,1402,1402,True,1.421840893697212,1.421840893697212,0.0,True,-1.3655138199972372,-1.3655138199972372,0.0,True,False,False,True,False,False,True
