station_id,provincia,municipio,estacion,first_timestamp_utc,last_timestamp_utc,expected_hourly_observations,observed_valid_pm10_observations,coverage_fraction,number_of_source_years_present,longest_missing_run_hours,days_with_sufficient_hourly_support_75pct,expected_hours_2020,valid_hours_2020,coverage_2020,source_days_2020,usable_days_75pct_2020,expected_hours_2021,valid_hours_2021,coverage_2021,source_days_2021,usable_days_75pct_2021,expected_hours_2022,valid_hours_2022,coverage_2022,source_days_2022,usable_days_75pct_2022,expected_hours_2023,valid_hours_2023,coverage_2023,source_days_2023,usable_days_75pct_2023
11012002_10_49,11,12,2,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,31996,0.9125028519279033,4,1239,1341,8784,6476,0.7372495446265938,279,270,8760,8503,0.970662100456621,362,356,8760,8630,0.9851598173515982,365,364,8760,8387,0.9574200913242009,357,351
11020003_10_49,11,20,3,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,31272,0.891854893908282,4,349,1283,8784,8356,0.9512750455373407,357,348,8760,8040,0.9178082191780822,354,333,8760,6951,0.7934931506849315,324,273,8760,7925,0.9046803652968036,349,329
11020004_10_49,11,20,4,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,29928,0.8535249828884326,4,889,1216,8784,7662,0.8722677595628415,339,311,8760,6879,0.7852739726027397,311,274,8760,7888,0.9004566210045662,342,324,8760,7499,0.8560502283105023,329,307
11022005_10_49,11,22,5,2020-01-01T01:00:00Z,2023-12-26T23:00:00Z,35064,32502,0.926933607118412,4,319,1348,8784,8270,0.9414845173041895,352,342,8760,8337,0.9517123287671233,355,347,8760,8211,0.9373287671232877,350,341,8760,7684,0.8771689497716895,334,318
11026001_10_49,11,26,1,2020-01-01T01:00:00Z,2023-09-13T06:00:00Z,35064,14546,0.4148414328085786,2,17521,607,8784,8744,0.9954462659380692,366,365,8760,0,0.0,0,0,8760,0,0.0,0,0,8760,5802,0.6623287671232877,252,242
11028001_10_49,11,28,1,2020-01-02T15:00:00Z,2023-12-29T13:00:00Z,35064,32250,0.9197467488021903,4,339,1324,8784,8377,0.9536657559198543,359,346,8760,8362,0.9545662100456621,359,347,8760,8159,0.931392694063927,351,336,8760,7352,0.8392694063926941,328,295
11031001_10_49,11,31,1,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,28760,0.8202144649783254,4,2691,1187,8784,7245,0.8247950819672131,319,293,8760,7405,0.8453196347031964,318,307,8760,7457,0.8512557077625571,317,309,8760,6653,0.7594748858447489,286,278
11033003_10_49,11,33,3,2023-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,7552,0.21537759525439196,1,26304,316,8784,0,0.0,0,0,8760,0,0.0,0,0,8760,0,0.0,0,0,8760,7552,0.8621004566210045,322,316
11033004_10_49,11,33,4,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,33256,0.9484371435090121,4,337,1393,8784,8518,0.9697176684881603,363,358,8760,8439,0.9633561643835616,361,353,8760,8547,0.9756849315068493,364,358,8760,7752,0.8849315068493151,333,324
12005005_10_49,12,5,5,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,31038,0.8851813826146475,4,287,1276,8784,8126,0.9250910746812386,353,336,8760,8167,0.9323059360730593,352,340,8760,7396,0.8442922374429224,334,293,8760,7349,0.8389269406392694,347,307
12009007_10_46,12,9,7,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,31605,0.9013518138261465,4,578,1295,8784,8205,0.9340846994535519,350,335,8760,8355,0.9537671232876712,354,348,8760,7064,0.806392694063927,303,288,8760,7981,0.9110730593607306,347,324
12028001_10_46,12,28,1,2020-01-01T01:00:00Z,2023-12-30T21:00:00Z,35064,32049,0.9140143737166324,4,606,1329,8784,8618,0.9811020036429873,364,360,8760,7726,0.8819634703196347,329,319,8760,7356,0.8397260273972603,316,305,8760,8349,0.9530821917808219,360,345
12032001_10_46,12,32,1,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,33389,0.9522302076203514,4,223,1385,8784,8712,0.9918032786885246,366,363,8760,8458,0.9655251141552511,357,352,8760,8198,0.9358447488584475,345,340,8760,8021,0.9156392694063927,346,330
12040008_10_46,12,40,8,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34345,0.9794946383755418,4,178,1434,8784,8682,0.9883879781420765,365,362,8760,8520,0.9726027397260274,359,355,8760,8446,0.9641552511415525,356,353,8760,8697,0.9928082191780822,365,364
12040010_10_46,12,40,10,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,33559,0.9570784850558978,4,486,1397,8784,8667,0.9866803278688525,365,362,8760,8358,0.9541095890410959,351,350,8760,8165,0.9320776255707762,350,338,8760,8369,0.955365296803653,354,347
12040020_10_46,12,40,20,2022-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,17221,0.4911305042208533,2,17544,715,8784,0,0.0,0,0,8760,0,0.0,0,0,8760,8581,0.9795662100456621,361,356,8760,8640,0.9863013698630136,363,359
12140002_10_46,12,140,2,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,32713,0.9329511749942961,4,143,1329,8784,7853,0.894011839708561,340,319,8760,8338,0.9518264840182649,357,342,8760,8216,0.9378995433789954,356,330,8760,8306,0.9481735159817352,355,338
12141002_10_46,12,141,2,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,32483,0.9263917408167921,4,409,1346,8784,7016,0.7987249544626593,300,288,8760,8633,0.9855022831050229,362,361,8760,8140,0.9292237442922374,344,335,8760,8694,0.9924657534246575,364,362
13034002_10_49,13,34,2,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,33410,0.9528291124800365,4,245,1378,8784,8376,0.953551912568306,357,347,8760,8051,0.9190639269406393,344,328,8760,8632,0.9853881278538813,364,358,8760,8351,0.953310502283105,355,345
13071015_10_49,13,71,15,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,33993,0.9694558521560575,4,99,1409,8784,8438,0.9606102003642987,361,348,8760,8614,0.9833333333333333,363,360,8760,8456,0.965296803652968,360,349,8760,8485,0.968607305936073,362,352
13071017_10_49,13,71,17,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,33886,0.9664042892995665,4,162,1401,8784,8389,0.9550318761384335,361,346,8760,8421,0.9613013698630137,359,346,8760,8350,0.9531963470319634,354,344,8760,8726,0.9961187214611872,365,365
14021006_10_49,14,21,6,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34358,0.979865389002966,4,162,1427,8784,8518,0.9697176684881603,361,354,8760,8733,0.9969178082191781,365,364,8760,8459,0.9656392694063927,359,349,8760,8648,0.9872146118721461,364,360
14021007_10_49,14,21,7,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34021,0.970254391968971,4,265,1409,8784,8200,0.9335154826958105,347,341,8760,8621,0.9841324200913242,363,357,8760,8701,0.9932648401826484,365,361,8760,8499,0.9702054794520548,362,350
14021009_10_49,14,21,9,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,33763,0.9628964179785535,4,153,1399,8784,8387,0.954804189435337,359,346,8760,8332,0.9511415525114155,356,342,8760,8669,0.9896118721461187,365,363,8760,8375,0.9560502283105022,356,348
14026002_10_49,14,26,2,2020-01-01T01:00:00Z,2023-06-18T06:00:00Z,35064,27832,0.7937485740360484,4,4722,1139,8784,8144,0.9271402550091075,347,336,8760,8314,0.9490867579908676,355,339,8760,8422,0.9614155251141553,360,344,8760,2952,0.336986301369863,128,120
14047001_10_49,14,47,1,2020-01-01T01:00:00Z,2022-12-21T09:00:00Z,35064,24193,0.6899669176363221,3,9015,992,8784,7837,0.8921903460837887,336,322,8760,8197,0.9357305936073059,350,335,8760,8159,0.931392694063927,346,335,8760,0,0.0,0,0
15005011_10_47,15,5,11,2020-01-01T01:00:00Z,2024-01-01T00:00:00Z,35064,34777,0.9918149669176364,4,6,1460,8784,8725,0.993283242258652,366,365,8760,8694,0.9924657534246575,365,365,8760,8665,0.9891552511415526,365,365,8760,8693,0.992351598173516,365,365
15005014_10_49,15,5,14,2020-06-04T09:00:00Z,2024-01-01T00:00:00Z,35064,30120,0.8590006844626967,4,3728,1242,8784,4676,0.5323315118397086,202,192,8760,8567,0.9779680365296803,360,358,8760,8639,0.9861872146118722,365,360,8760,8238,0.9404109589041096,356,332
