station_id,model,horizon,condition,raw_p_value,bh_q_value,bh_reject_q_0_05,family,family_size,alpha,primary_inferential_metric
04022001_10_49,xgboost_direct,3,lags_only,0.3607,0.45245059573289,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04022001_10_49,xgboost_direct,4,lags_only,0.6411,0.7324543203638201,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04022001_10_49,xgboost_direct,5,lags_only,0.2034,0.30255750000000003,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04022001_10_49,xgboost_direct,6,lags_only,0.1371,0.22228978128361418,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04022001_10_49,xgboost_direct,7,lags_only,0.1799,0.2751125464998309,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04032005_10_49,sarima,1,lags_only,0.3523,0.4482556555993247,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04032005_10_49,sarima,2,lags_only,0.351,0.44773540197461215,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04032005_10_49,sarima,3,lags_only,0.3382,0.4390871088142406,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04032005_10_49,sarima,4,lags_only,0.3522,0.44825454545454546,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04032005_10_49,sarima,5,lags_only,0.3378,0.438819764435507,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04032005_10_49,sarima,6,lags_only,0.3471,0.44577852882703783,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04032005_10_49,sarima,7,lags_only,0.3547,0.4501693516699411,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04032005_10_49,xgboost_direct,1,lags_only,0.9599,1.0,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
04032005_10_49,xgboost_direct,2,lags_only,0.2312,0.33242810810810813,False,GLOBAL_ALL_CELLS,4522,0.05,Skill_RMSE / squared-error loss difference
